date,logcpi,logip,gs1,ebp,ff4_tc
1979m7,4.290459,3.943341,9.64,-0.223953,0
1979m8,4.300003,3.936755,9.98,-0.317488,0
1979m9,4.309456,3.938156,10.84,-0.089456,0
1979m10,4.320151,3.943526,12.44,-0.912158,0
1979m11,4.330733,3.942521,12.39,-0.166222,0
1979m12,4.342506,3.943225,11.98,0.127869,0
1980m1,4.356709,3.947512,12.06,-0.102562,0
1980m2,4.369448,3.948297,13.92,-0.584882,0
1980m3,4.383276,3.945222,15.82,0.256076,0
1980m4,4.393214,3.924821,13.3,-0.731175,0
1980m5,4.403054,3.899928,9.39,0.024596,0
1980m6,4.412798,3.887642,8.16,-0.089556,0
1980m7,4.41401,3.881019,8.65,0.09304,0
1980m8,4.421247,3.883893,10.24,-0.041169,0
1980m9,4.429626,3.899868,11.52,-0.073297,0
1980m10,4.439116,3.912341,12.49,-0.297335,0
1980m11,4.449685,3.929452,14.15,0.26447,0
1980m12,4.458988,3.935349,14.88,-0.103086,0
1981m1,4.468204,3.929798,14.08,0.324857,0
1981m2,4.477337,3.925141,14.57,0.103979,0
1981m3,4.484132,3.930321,13.71,-0.035855,0
1981m4,4.489759,3.926028,14.32,0.501343,0
1981m5,4.496471,3.932151,16.2,0.263799,0
1981m6,4.50535,3.936755,14.86,0.424592,0
1981m7,4.516339,3.94302,15.72,0.412094,0
1981m8,4.52396,3.94295,16.72,0.239638,0
1981m9,4.533674,3.936595,16.52,0.396551,0
1981m10,4.536891,3.929584,15.38,0.57229,0
1981m11,4.541165,3.918488,12.41,0.160274,0
1981m12,4.544358,3.907376,12.85,0.545328,0
1982m1,4.547541,3.887501,14.32,0.756894,0
1982m2,4.550714,3.906884,14.73,0.453381,0
1982m3,4.550714,3.899463,13.95,0.908091,0
1982m4,4.553877,3.890759,13.98,0.69748,0
1982m5,4.563306,3.88457,13.34,0.712093,0
1982m6,4.574711,3.881209,14.07,0.642981,0
1982m7,4.579852,3.878044,13.24,0.613466,0
1982m8,4.581902,3.869698,11.43,-0.113349,0
1982m9,4.581902,3.866297,10.85,0.476664,0
1982m10,4.585987,3.85766,9.32,0.125427,0
1982m11,4.584967,3.853745,9.16,0.499413,0
1982m12,4.581902,3.846451,8.91,0.697482,0
1983m1,4.583947,3.86542,8.62,0.328926,0
1983m2,4.584967,3.859379,8.92,0.267022,0
1983m3,4.585987,3.867701,9.04,0.215837,0
1983m4,4.593098,3.879783,8.98,0.119112,0
1983m5,4.597138,3.886617,8.9,-0.081389,0
1983m6,4.599152,3.892026,9.66,0.087245,0
1983m7,4.603168,3.907107,10.2,-0.075867,0
1983m8,4.60617,3.917938,10.53,-0.177673,0
1983m9,4.609162,3.933054,10.16,-0.047112,0
1983m10,4.613138,3.941108,9.81,-0.06537,0
1983m11,4.61611,3.944186,9.94,0.047045,0
1983m12,4.619073,3.949284,10.11,0.129582,0
1984m1,4.625953,3.969331,9.9,0.057239,0
1984m2,4.630838,3.974271,10.04,-0.050522,0
1984m3,4.633758,3.978902,10.59,0.030465,0
1984m4,4.637637,3.985056,10.9,0.147306,0
1984m5,4.639572,3.989998,11.66,-0.285679,0
1984m6,4.641502,3.993539,12.08,-0.006005,0
1984m7,4.645352,3.99684,12.03,-0.120269,0
1984m8,4.64823,3.997602,11.82,0.221358,0
1984m9,4.651099,3.996007,11.58,-0.017891,0
1984m10,4.654912,3.994657,10.9,-0.233755,0
1984m11,4.656813,3.998443,9.82,-0.067831,0
1984m12,4.658711,3.999486,9.33,0.001616,0
1985m1,4.660605,3.997064,9.02,-0.074955,0
1985m2,4.666265,4.00132,9.29,-0.095078,0
1985m3,4.670958,4.002525,9.86,0.138643,0
1985m4,4.672829,4.000103,9.14,-0.029021,0
1985m5,4.674696,4.001366,8.46,-0.194037,0
1985m6,4.677491,4.002067,7.8,0.212439,0
1985m7,4.67935,3.995114,7.86,0.134211,0
1985m8,4.681205,3.999523,8.05,0.146921,0
1985m9,4.683057,4.00375,8.07,0.250984,0
1985m10,4.68675,3.999734,8.01,0.294745,0
1985m11,4.691348,4.003154,7.88,0.29036,0
1985m12,4.695925,4.013395,7.67,0.032192,0
1986m1,4.699571,4.018288,7.73,0.338187,0
1986m2,4.697749,4.010961,7.61,-0.28549,0
1986m3,4.692265,4.004648,7.03,0.58569,0
1986m4,4.688592,4.005333,6.44,0.54437,0
1986m5,4.691348,4.00708,6.65,0.030158,0
1986m6,4.695011,4.00386,6.73,0.022068,0
1986m7,4.695925,4.010294,6.27,0.773264,0
1986m8,4.696837,4.008137,5.93,0.70852,0
1986m9,4.70048,4.009872,5.77,0.314005,0
1986m10,4.702297,4.014457,5.72,0.545463,0
1986m11,4.70411,4.019075,5.8,0.669255,0
1986m12,4.707727,4.027786,5.87,0.699041,0
1987m1,4.713127,4.024543,5.78,0.554116,0
1987m2,4.716712,4.037386,5.96,0.630779,0
1987m3,4.720283,4.038953,6.03,0.518992,0
1987m4,4.724729,4.044934,6.5,-0.384307,0
1987m5,4.727388,4.05175,7,0.259175,0
1987m6,4.731803,4.05699,6.8,0.244076,0
1987m7,4.734442,4.06338,6.68,0.484995,0
1987m8,4.738827,4.070586,7.03,0.469987,0
1987m9,4.74232,4.07324,7.67,0.492706,0
1987m10,4.744932,4.088293,7.59,-0.843692,0
1987m11,4.748404,4.093584,6.96,0.264651,0
1987m12,4.750136,4.098235,7.17,0.006715,0
1988m1,4.75359,4.098669,6.99,-0.181428,0
1988m2,4.755313,4.102716,6.64,0.228407,0
1988m3,4.757891,4.10508,6.71,-0.04841,0
1988m4,4.763882,4.11038,7.01,0.001875,0
1988m5,4.766438,4.109517,7.4,0.049413,0
1988m6,4.770685,4.111965,7.49,0.093573,0
1988m7,4.774913,4.113269,7.75,-0.230565,0
1988m8,4.779124,4.11747,8.17,-0.014694,0
1988m9,4.783316,4.114033,8.09,0.146262,0
1988m10,4.786658,4.119257,8.11,0.236986,0
1988m11,4.789989,4.120978,8.48,0.101988,0
1988m12,4.793308,4.125323,8.99,0.23073,0
1989m1,4.797442,4.1279,9.05,0.138146,0
1989m2,4.800737,4.123722,9.25,-0.00409,0
1989m3,4.805659,4.126536,9.57,0.280599,0
1989m4,4.812997,4.126931,9.36,0.50671,0
1989m5,4.817859,4.12023,8.98,0.227865,0
1989m6,4.821088,4.120848,8.44,0.408043,0
1989m7,4.824306,4.111171,7.89,0.641174,0
1989m8,4.824306,4.119796,8.18,0.352247,0
1989m9,4.826712,4.117239,8.22,0.373951,0
1989m10,4.831509,4.11616,7.99,0.274534,0
1989m11,4.835488,4.11918,7.77,0.463822,0
1989m12,4.83866,4.125047,7.72,0.406334,0
1990m1,4.848116,4.118969,7.92,0.121781,0
1990m2,4.85203,4.128269,8.11,0.241804,-0.015
1990m3,4.856707,4.133629,8.35,0.349573,-0.0075806
1990m4,4.859037,4.132314,8.4,-0.029281,-0.0174194
1990m5,4.860587,4.134243,8.32,-0.071917,0
1990m6,4.866765,4.137447,8.1,0.035864,0
1990m7,4.871373,4.135995,7.94,0.006528,-0.0664516
1990m8,4.879767,4.138833,7.78,-0.269673,-0.0335484
1990m9,4.886583,4.140822,7.76,-0.051052,0
1990m10,4.893352,4.133222,7.55,0.099413,-0.011281
1990m11,4.895598,4.121024,7.31,0.258542,-0.0130424
1990m12,4.899331,4.114036,7.05,0.192606,-0.0956667
1991m1,4.90305,4.109627,6.64,0.22076,-0.1674193
1991m2,4.903792,4.10319,6.27,0.139982,-0.2304378
1991m3,4.903792,4.097978,6.4,0.095124,-0.0363364
1991m4,4.906015,4.099621,6.24,0.092676,-0.0321398
1991m5,4.909709,4.109627,6.13,0.106881,-0.1946344
1991m6,4.912655,4.119382,6.36,0.033201,-0.0090322
1991m7,4.914124,4.11912,6.31,0.115509,0.0087097
1991m8,4.917057,4.120612,5.78,0.074946,-0.0803226
1991m9,4.919981,4.12929,5.57,0.088652,0.0016129
1991m10,4.92144,4.127101,5.33,0.086014,-0.0025806
1991m11,4.925804,4.126021,4.89,0.095896,-0.1374193
1991m12,4.928702,4.122368,4.38,0.02729,-0.1206452
1992m1,4.929425,4.116077,4.15,-0.038977,-0.1493548
1992m2,4.931592,4.123853,4.29,-0.013052,0
1992m3,4.935193,4.131774,4.63,-0.03771,0
1992m4,4.937347,4.138881,4.3,-0.01459,-0.1493334
1992m5,4.939497,4.142433,4.19,-0.096207,-0.0467997
1992m6,4.942357,4.142374,4.17,-0.148848,0.0061229
1992m7,4.945208,4.150985,3.6,-0.233425,-0.2903225
1992m8,4.94734,4.145967,3.47,-0.063198,-0.0054839
1992m9,4.949469,4.148119,3.18,0.010572,0.0148064
1992m10,4.953712,4.155916,3.3,0.000714,0.0090646
1992m11,4.956531,4.160084,3.68,0.050682,0.0019355
1992m12,4.957938,4.160321,3.71,0.082522,-0.0029032
1993m1,4.961445,4.16525,3.5,0.03413,-0.0070968
1993m2,4.963544,4.168922,3.39,-0.011742,-0.0178571
1993m3,4.96494,4.168546,3.33,0.000532,-0.0021429
1993m4,4.968423,4.171552,3.24,0.005023,0
1993m5,4.971201,4.168035,3.36,-0.010239,-0.0083871
1993m6,4.971895,4.170112,3.54,-0.092369,-0.0116129
1993m7,4.973279,4.173179,3.47,-0.098521,0
1993m8,4.975353,4.172778,3.44,-0.126471,0.0045161
1993m9,4.976734,4.177493,3.36,-0.038514,0.0084839
1993m10,4.980863,4.184828,3.39,-0.111725,0.007
1993m11,4.983607,4.188867,3.58,-0.169558,0
1993m12,4.985659,4.193894,3.61,-0.200074,-0.0032258
1994m1,4.985659,4.197906,3.54,-0.269455,-0.0067742
1994m2,4.98839,4.198418,3.87,-0.459178,0
1994m3,4.991113,4.208644,4.32,-0.350492,0
1994m4,4.991792,4.213944,4.82,-0.320025,0.052
1994m5,4.993828,4.21942,5.31,-0.319522,0.0921935
1994m6,4.996536,4.226045,5.27,-0.36392,0.0258064
1994m7,4.999911,4.227623,5.48,-0.323668,0
1994m8,5.003946,4.233295,5.56,-0.296783,0
1994m9,5.005958,4.236468,5.76,-0.42854,-0.0039999
1994m10,5.006627,4.24516,6.11,-0.326659,-0.026
1994m11,5.009301,4.251532,6.54,-0.30399,0.0426667
1994m12,5.011302,4.261916,7.14,-0.253074,0.0179784
1995m1,5.013963,4.263864,7.05,-0.273132,-0.0306451
1995m2,5.016617,4.263228,6.7,-0.327196,0
1995m3,5.018604,4.264824,6.43,-0.329607,0.0025806
1995m4,5.022564,4.264395,6.27,-0.259701,0.0174193
1995m5,5.024538,4.267027,6,-0.401863,0
1995m6,5.026508,4.270672,5.64,-0.187211,0
1995m7,5.02782,4.266815,5.59,-0.346603,-0.1258065
1995m8,5.029784,4.279903,5.75,-0.248873,-0.0241935
1995m9,5.031091,4.283589,5.62,-0.207413,0.005
1995m10,5.033701,4.281811,5.59,-0.178842,0.025
1995m11,5.035003,4.284396,5.43,-0.095936,0
1995m12,5.036303,4.288258,5.31,-0.087709,-0.0209677
1996m1,5.041488,4.281644,5.09,-0.116741,-0.0296774
1996m2,5.043425,4.29747,4.94,-0.330019,-0.0193548
1996m3,5.046646,4.295916,5.34,-0.340443,0.0019336
1996m4,5.050497,4.304256,5.54,-0.294273,0.0080564
1996m5,5.052417,4.311198,5.64,-0.327362,0
1996m6,5.054333,4.320053,5.81,-0.303977,0
1996m7,5.056246,4.31873,5.85,-0.373247,-0.0280645
1996m8,5.057519,4.325219,5.67,-0.436534,-0.0019355
1996m9,5.060695,4.330516,5.83,-0.424425,-0.0303333
1996m10,5.06386,4.330558,5.55,-0.381406,-0.0996667
1996m11,5.067016,4.338742,5.42,-0.349662,-0.006
1996m12,5.069533,4.345137,5.47,-0.442943,-0.0088387
1997m1,5.071417,4.34627,5.61,-0.350262,-0.0051613
1997m2,5.073297,4.358319,5.53,-0.485871,0
1997m3,5.073923,4.365974,5.8,-0.512084,0.0090322
1997m4,5.074549,4.366422,5.99,-0.438469,0.0309677
1997m5,5.074549,4.373299,5.87,-0.436481,-0.0348387
1997m6,5.076423,4.377813,5.69,-0.50729,-0.0551615
1997m7,5.077671,4.383895,5.54,-0.525862,-0.0193548
1997m8,5.080161,4.397059,5.56,-0.501028,0.0035484
1997m9,5.082646,4.405731,5.52,-0.599141,0.0058064
1997m10,5.084505,4.412547,5.46,-0.47386,0
1997m11,5.085743,4.421395,5.46,-0.396917,0
1997m12,5.086361,4.424941,5.53,-0.453156,-0.0051613
1998m1,5.087596,4.429876,5.24,-0.374018,-0.0048387
1998m2,5.087596,4.430764,5.31,-0.353293,0
1998m3,5.087596,4.431419,5.39,-0.402522,0
1998m4,5.08883,4.435221,5.38,-0.476149,0
1998m5,5.091293,4.441902,5.44,-0.435831,-0.0041935
1998m6,5.092523,4.436049,5.41,-0.421874,-0.0058064
1998m7,5.094977,4.43179,5.36,-0.385605,0.00999
1998m8,5.096201,4.452782,5.21,-0.040715,0.0045161
1998m9,5.096813,4.449563,4.71,-0.103384,0.0101504
1998m10,5.099257,4.457471,4.12,0.000441,-0.0717633
1998m11,5.100476,4.456595,4.53,0.02907,-0.1129031
1998m12,5.102303,4.460135,4.52,-0.106692,0
1999m1,5.104126,4.464603,4.51,-0.124938,0
1999m2,5.104126,4.46893,4.7,-0.352341,0
1999m3,5.104733,4.471072,4.78,-0.275318,-0.0012903
1999m4,5.111385,4.47338,4.69,-0.279516,-0.0187097
1999m5,5.111988,4.48078,4.85,-0.279658,0.0180645
1999m6,5.111988,4.478864,5.1,-0.213867,0.0196021
1999m7,5.116196,4.485621,5.03,-0.148228,-0.0676665
1999m8,5.118593,4.489807,5.2,-0.147479,0.003871
1999m9,5.122773,4.487011,5.25,-0.004159,0.0111289
1999m10,5.124559,4.499721,5.43,-0.040454,0.0348387
1999m11,5.126342,4.504709,5.55,-0.078502,0.0351663
1999m12,5.128715,4.512643,5.84,-0.312901,0.0282309
2000m1,5.131672,4.513419,6.12,-0.12087,-0.0032258
2000m2,5.135798,4.517194,6.22,-0.10413,0.0048275
2000m3,5.141664,4.521182,6.22,0.153359,-0.0033724
2000m4,5.141078,4.527427,6.15,0.329846,-0.0064452
2000m5,5.142833,4.528928,6.33,0.498835,0.0361292
2000m6,5.148657,4.529504,6.17,0.54953,0.0323699
2000m7,5.151556,4.527191,6.08,0.607972,-0.013509
2000m8,5.151556,4.524523,6.18,0.76418,0.0016129
2000m9,5.156754,4.529374,6.13,0.816644,0.0033872
2000m10,5.15848,4.524865,6.01,1.252061,0.023387
2000m11,5.160204,4.524742,6.09,1.288705,0.0016129
2000m12,5.162498,4.521549,5.6,1.360387,-0.0020967
2001m1,5.168209,4.514333,4.81,0.9097,-0.1422579
2001m2,5.170484,4.508291,4.68,0.935115,0.0193646
2001m3,5.171052,4.505573,4.3,0.973143,-0.0290322
2001m4,5.172754,4.502787,3.98,0.772219,-0.2063012
2001m5,5.177843,4.495496,3.78,0.686657,-0.2864408
2001m6,5.180096,4.48879,3.58,0.976032,-0.0532258
2001m7,5.178407,4.484373,3.62,0.563165,0.0650001
2001m8,5.178407,4.481802,3.47,0.60858,-0.0070968
2001m9,5.182345,4.478535,2.82,0.998345,-0.0129032
2001m10,5.179534,4.473623,2.33,0.865248,-0.0387096
2001m11,5.17897,4.468214,2.18,-0.427836,-0.1179571
2001m12,5.178407,4.468461,2.22,0.359763,-0.0436559
2002m1,5.180096,4.474606,2.16,0.500767,-0.0083871
2002m2,5.181783,4.474206,2.23,0.71221,0.0187097
2002m3,5.184589,4.481587,2.57,0.266711,-0.0188708
2002m4,5.189061,4.485763,2.48,0.385478,-0.026129
2002m5,5.190175,4.49091,2.35,0.414249,-0.016129
2002m6,5.190732,4.500637,2.2,0.751762,-0.0055377
2002m7,5.192957,4.497277,1.96,1.168366,-0.0083334
2002m8,5.195731,4.498651,1.76,1.19177,-0.0245161
2002m9,5.197391,4.499171,1.72,1.305279,-0.0166504
2002m10,5.199601,4.495853,1.65,1.110808,-0.0038333
2002m11,5.201255,4.501314,1.49,0.784568,-0.0708334
2002m12,5.202907,4.496793,1.45,0.661981,-0.0070698
2003m1,5.207298,4.503762,1.36,0.589204,0.0058064
2003m2,5.212759,4.507451,1.3,0.394674,0.0270967
2003m3,5.214392,4.505461,1.24,-0.153522,-0.0090322
2003m4,5.210579,4.497249,1.27,-0.138374,-0.0109677
2003m5,5.20894,4.497112,1.18,-0.854259,-0.0335484
2003m6,5.210032,4.497197,1.01,-0.561209,0.0145483
2003m7,5.213304,4.500717,1.12,-1.32735,0.0840001
2003m8,5.21765,4.499524,1.31,-0.225067,0
2003m9,5.220896,4.505585,1.24,-0.694795,0
2003m10,5.219815,4.505222,1.25,-0.543412,-0.0012903
2003m11,5.220356,4.512759,1.34,-0.540053,-0.0087097
2003m12,5.223055,4.511935,1.31,-0.49322,0.0037096
2004m1,5.227358,4.514847,1.24,-0.711418,0.0019355
2004m2,5.229503,4.520488,1.24,-0.286728,0.004355
2004m3,5.231643,4.515114,1.19,-0.533865,-0.0025806
2004m4,5.233245,4.51918,1.43,-0.740573,-0.0024195
2004m5,5.237505,4.526421,1.78,-0.323436,-0.0045161
2004m6,5.241218,4.518477,2.12,-0.333673,-0.0008171
2004m7,5.242276,4.52628,2.1,-0.306482,-0.0096667
2004m8,5.242805,4.528055,2.02,-0.461368,0.0283799
2004m9,5.245971,4.528458,2.12,-0.598777,0.0082767
2004m10,5.251226,4.537961,2.23,-0.574809,-0.0066667
2004m11,5.255931,4.539955,2.5,-0.701047,-0.0069931
2004m12,5.255931,4.546688,2.67,-0.85373,-0.0059001
2005m1,5.25541,4.550793,2.86,-0.806862,-0.0020969
2005m2,5.259576,4.557046,3.03,-1.09208,0
2005m3,5.263208,4.556424,3.3,-0.730689,0.0032258
2005m4,5.26631,4.557303,3.32,-0.53511,0.0067742
2005m5,5.265794,4.559126,3.33,-0.386019,0.0093548
2005m6,5.26631,4.563306,3.36,-0.564386,0.0011451
2005m7,5.272487,4.561933,3.64,-0.653742,0.0145001
2005m8,5.278625,4.563185,3.87,-0.721005,-0.0074193
2005m9,5.292299,4.543458,3.85,-0.555723,0.0084193
2005m10,5.293807,4.555812,4.18,-0.455134,0.0190001
2005m11,5.288772,4.565519,4.33,-0.386568,0
2005m12,5.288772,4.571202,4.35,-0.394374,-0.0030646
2006m1,5.294811,4.572172,4.45,-0.457407,-0.0011289
2006m2,5.295313,4.572976,4.68,-0.348597,0.0241935
2006m3,5.296816,4.575475,4.77,-0.515825,0.003871
2006m4,5.301812,4.579338,4.9,-0.529815,0.026129
2006m5,5.304796,4.578226,5,-0.400727,0.0248387
2006m6,5.307277,4.58207,5.16,-0.449069,0.0084946
2006m7,5.312713,4.582554,5.22,-0.378634,-0.0233333
2006m8,5.317139,4.584621,5.08,-0.423245,-0.0270967
2006m9,5.31222,4.583303,4.97,-0.522988,-0.0079031
2006m10,5.307772,4.582364,5.01,-0.540093,-0.0011292
2006m11,5.308268,4.581201,5.01,-0.52448,-0.003871
2006m12,5.313699,4.59139,4.94,-0.661607,-0.0032258
2007m1,5.315356,4.586607,5.06,-0.678331,-0.0019355
2007m2,5.319227,4.597701,5.05,-0.735689,-0.0048387
2007m3,5.324414,4.598443,4.92,-0.48584,-0.005326
2007m4,5.32741,4.605682,4.93,-0.485028,-0.0096838
2007m5,5.331534,4.606279,4.91,-0.736344,0.0037096
2007m6,5.333848,4.606328,4.96,-0.495324,0.0012903
2007m7,5.335627,4.606604,4.96,-0.084556,0
2007m8,5.335936,4.607866,4.47,0.082753,0
2007m9,5.340164,4.612293,4.14,-0.001109,-0.0736668
2007m10,5.343243,4.607391,4.1,-0.081753,-0.0953655
2007m11,5.351071,4.613191,3.5,0.214839,0.0290322
2007m12,5.353965,4.613337,3.26,0.385475,0.0203228
2008m1,5.357407,4.610136,2.71,0.67884,-0.0390322
2008m2,5.359822,4.608174,2.05,0.848258,-0.2062905
2008m3,5.363393,4.605248,1.54,1.091471,0.0338709
2008m4,5.365705,4.597413,1.74,0.59478,0.0386291
2008m5,5.371605,4.592745,2.06,0.628826,-0.0725
2008m6,5.382029,4.590705,2.42,0.704856,0.003
2008m7,5.389145,4.586173,2.28,1.056176,0.0120001
2008m8,5.387655,4.570016,2.18,1.150368,-0.026129
2008m9,5.38851,4.526987,1.91,1.494335,0.056129
2008m10,5.379874,4.53523,1.42,2.970945,0.0474272
2008m11,5.36201,4.523573,1.07,2.001412,-0.0474172
2008m12,5.353743,4.494944,0.49,2.23929,-0.095489
2009m1,5.35636,4.472188,0.44,2.176283,-0.0895209
2009m2,5.360461,4.46576,0.62,2.601959,0
2009m3,5.35905,4.45028,0.64,2.132363,-0.0045161
2009m4,5.359681,4.441865,0.55,1.926129,-0.0051508
2009m5,5.361283,4.431611,0.5,0.983595,0.0046668
2009m6,5.369666,4.427922,0.51,0.632751,0
2009m7,5.369335,4.436534,0.48,0.07803,0
2009m8,5.372692,4.447011,0.46,-0.228104,-0.0032258
2009m9,5.374723,4.453803,0.4,-0.144004,-0.0057743
2009m10,5.377507,4.456938,0.37,-0.348584,-0.0109999
2009m11,5.380657,4.461755,0.31,-0.151492,-0.008991
2009m12,5.381578,4.466409,0.37,-0.569734,-0.0035796
2010m1,5.382098,4.476927,0.35,-0.229574,-0.0024195
2010m2,5.381537,4.480764,0.35,0.036577,0
2010m3,5.381647,4.488305,0.4,-0.093996,-0.0051613
2010m4,5.381191,4.491636,0.45,-0.227013,-0.0058386
2010m5,5.380956,4.507286,0.37,-0.177303,-0.0090001
2010m6,5.381412,4.509478,0.32,-0.040396,0
2010m7,5.383072,4.51531,0.29,0.16767,0
2010m8,5.384587,4.517967,0.26,-0.489363,0
2010m9,5.385957,4.520515,0.26,-0.085991,0.0016668
2010m10,5.389053,4.517087,0.23,-0.035421,0.0033333
2010m11,5.39122,4.519781,0.25,-0.155059,0.0046666
2010m12,5.395753,4.529611,0.29,-0.403172,0.0003333
2011m1,5.398466,4.528384,0.27,0.081907,-0.0009677
2011m2,5.402263,4.523687,0.29,-0.217003,-0.0040321
2011m3,5.407647,4.533821,0.26,-0.250326,0
2011m4,5.411106,4.528035,0.25,-0.216373,0
2011m5,5.414976,4.531659,0.19,-0.084545,0
2011m6,5.416412,4.533431,0.18,0.081981,-0.0015001
2011m7,5.418737,4.539124,0.19,-0.020915,-0.0035
2011m8,5.421362,4.544583,0.11,-0.250424,-0.0037096
2011m9,5.423861,4.545649,0.1,0.289268,0.0053763
2011m10,5.423751,4.551214,0.11,-0.306556,0.0133333
2011m11,5.425166,4.553454,0.11,0.382049,0.0096667
2011m12,5.425554,4.559377,0.12,0.10295,0.0003333
2012m1,5.427612,4.566387,0.12,0.030121,0
2012m2,5.430455,4.571274,0.16,-0.121284,0
2012m3,5.433503,4.565798,0.19,-0.529989,0
2012m4,5.433508,4.573238,0.18,-0.367213,0
2012m5,5.432184,4.575785,0.19,-0.350847,0
2012m6,5.43339,4.576073,0.19,-0.067985,0.0036666
